us_county,name,state,"Random Number"
2013,"Aleutians East Borough, AK",AK,11.42104614
2016,"Aleutians West Census Area, AK",AK,49.0616097
2020,"Anchorage Municipality, AK",AK,-12.91617009
2050,"Bethel Census Area, AK",AK,-2.221843856
2060,"Bristol Bay Borough, AK",AK,-31.71132123
2068,"Denali Borough, AK",AK,20.02141719
2070,"Dillingham Census Area, AK",AK,-26.11979438
2090,"Fairbanks North Star Borough, AK",AK,33.9271955
2100,"Haines Borough, AK",AK,48.81354813
2105,"Hoonah-Angoon Census Area, AK",AK,33.33620677
2110,"Juneau City and Borough, AK",AK,-23.57261194
2122,"Kenai Peninsula Borough, AK",AK,28.048403
2130,"Ketchikan Gateway Borough, AK",AK,-1.527958783
2150,"Kodiak Island Borough, AK",AK,0
2164,"Lake and Peninsula Borough, AK",AK,-1.713761846
2170,"Matanuska-Susitna Borough, AK",AK,29.17744069
2180,"Nome Census Area, AK",AK,-14.41464556
2185,"North Slope Borough, AK",AK,23.41572758
2188,"Northwest Arctic Borough, AK",AK,0
2195,"Petersburg Census Area, AK",AK,-27.94890884
2198,"Prince of Wales-Hyder Census Area, AK",AK,22.81257227
2220,"Sitka City and Borough, AK",AK,19.97945237
2230,"Skagway Municipality, AK",AK,31.06342201
2240,"Southeast Fairbanks Census Area, AK",AK,-18.30043718
2261,"Valdez-Cordova Census Area, AK",AK,-21.23851473
2270,"Wade Hampton Census Area, AK",AK,-23.77194398
2275,"Wrangell City and Borough, AK",AK,26.12979636
2282,"Yakutat City and Borough, AK",AK,27.75871286
2290,"Yukon-Koyukuk Census Area, AK",AK,22.22300684
1001,"Autauga County, AL",AL,14.64843001
1003,"Baldwin County, AL",AL,-33.60228333
1005,"Barbour County, AL",AL,16.87591851
1007,"Bibb County, AL",AL,-30.7672309
1009,"Blount County, AL",AL,18.35835909
1011,"Bullock County, AL",AL,48.8659011
1013,"Butler County, AL",AL,39.91918618
1015,"Calhoun County, AL",AL,-49.33050879
1017,"Chambers County, AL",AL,48.88956115
1019,"Cherokee County, AL",AL,12.0718914
1021,"Chilton County, AL",AL,41.13760616
1023,"Choctaw County, AL",AL,15.88974727
1025,"Clarke County, AL",AL,-45.11551264
1027,"Clay County, AL",AL,6.861269515
1029,"Cleburne County, AL",AL,-23.1024563
1031,"Coffee County, AL",AL,39.51516123
1033,"Colbert County, AL",AL,-6.639675945
1035,"Conecuh County, AL",AL,-40.7654589
1037,"Coosa County, AL",AL,11.24823158
1039,"Covington County, AL",AL,8.013126108
1041,"Crenshaw County, AL",AL,-49.24895517
1043,"Cullman County, AL",AL,11.51736409
1045,"Dale County, AL",AL,30.32723977
1047,"Dallas County, AL",AL,-42.40885422
1049,"DeKalb County, AL",AL,39.35850573
1051,"Elmore County, AL",AL,13.99840038
1053,"Escambia County, AL",AL,40.94088345
1055,"Etowah County, AL",AL,47.88702287
1057,"Fayette County, AL",AL,-17.07139641
1059,"Franklin County, AL",AL,39.80286303
1061,"Geneva County, AL",AL,-7.306854196
1063,"Greene County, AL",AL,9.553331575
1065,"Hale County, AL",AL,40.89171021
1067,"Henry County, AL",AL,8.974196406
1069,"Houston County, AL",AL,39.16684242
1071,"Jackson County, AL",AL,-5.863131305
1073,"Jefferson County, AL",AL,47.12090728
1075,"Lamar County, AL",AL,39.49652996
1077,"Lauderdale County, AL",AL,25.28059993
1079,"Lawrence County, AL",AL,-48.84989745
1081,"Lee County, AL",AL,0.534151919
1083,"Limestone County, AL",AL,42.13809621
1085,"Lowndes County, AL",AL,-34.70605548
1087,"Macon County, AL",AL,-39.02540485
1089,"Madison County, AL",AL,41.07450715
1091,"Marengo County, AL",AL,-47.98547805
1093,"Marion County, AL",AL,22.66974604
1095,"Marshall County, AL",AL,5.18484432
1097,"Mobile County, AL",AL,-35.04006542
1099,"Monroe County, AL",AL,-21.49795612
1101,"Montgomery County, AL",AL,47.09854016
1103,"Morgan County, AL",AL,-48.19726185
1105,"Perry County, AL",AL,-45.30645621
1107,"Pickens County, AL",AL,-26.65701112
1109,"Pike County, AL",AL,-42.73461734
1111,"Randolph County, AL",AL,27.85838441
1113,"Russell County, AL",AL,-13.34419137
1117,"Shelby County, AL",AL,5.496221172
1115,"Saint Clair County, AL",AL,21.25210912
1119,"Sumter County, AL",AL,-32.7339412
1121,"Talladega County, AL",AL,-1.040029333
1123,"Tallapoosa County, AL",AL,39.0391535
1125,"Tuscaloosa County, AL",AL,-18.77040087
1127,"Walker County, AL",AL,0.512637603
1129,"Washington County, AL",AL,-47.62579514
1131,"Wilcox County, AL",AL,24.31466565
1133,"Winston County, AL",AL,10.99604295
5001,"Arkansas County, AR",AR,-37.13965505
5003,"Ashley County, AR",AR,-29.46447598
5005,"Baxter County, AR",AR,15.0525726
5007,"Benton County, AR",AR,-38.30218552
5009,"Boone County, AR",AR,-41.79947872
5011,"Bradley County, AR",AR,30.7015971
5013,"Calhoun County, AR",AR,-46.18280516
5015,"Carroll County, AR",AR,-32.77959259
5017,"Chicot County, AR",AR,34.68087749
5019,"Clark County, AR",AR,-6.78953078
5021,"Clay County, AR",AR,-37.27293471
5023,"Cleburne County, AR",AR,28.67982936
5025,"Cleveland County, AR",AR,-40.48401473
5027,"Columbia County, AR",AR,-13.00877895
5029,"Conway County, AR",AR,-11.67849918
5031,"Craighead County, AR",AR,-7.37243739
5033,"Crawford County, AR",AR,1.235113259
5035,"Crittenden County, AR",AR,-11.31731811
5037,"Cross County, AR",AR,-46.7807157
5039,"Dallas County, AR",AR,-24.8765867
5041,"Desha County, AR",AR,-9.315541467
5043,"Drew County, AR",AR,-7.412658041
5045,"Faulkner County, AR",AR,7.646147775
5047,"Franklin County, AR",AR,-18.6141352
5049,"Fulton County, AR",AR,38.23549917
5051,"Garland County, AR",AR,-1.447334262
5053,"Grant County, AR",AR,-19.6632376
5055,"Greene County, AR",AR,15.22308583
5057,"Hempstead County, AR",AR,-44.05453573
5059,"Hot Spring County, AR",AR,-10.48251174
5061,"Howard County, AR",AR,-33.53777714
5063,"Independence County, AR",AR,-3.701189463
5065,"Izard County, AR",AR,-44.88578893
5067,"Jackson County, AR",AR,-8.168863633
5069,"Jefferson County, AR",AR,-1.547881756
5071,"Johnson County, AR",AR,8.70018365
5073,"Lafayette County, AR",AR,44.73299045
5075,"Lawrence County, AR",AR,42.57956684
5077,"Lee County, AR",AR,-4.034738179
5079,"Lincoln County, AR",AR,14.68361309
5081,"Little River County, AR",AR,21.59858151
5083,"Logan County, AR",AR,-8.518330756
5085,"Lonoke County, AR",AR,9.209078328
5087,"Madison County, AR",AR,25.02216658
5089,"Marion County, AR",AR,26.28265952
5091,"Miller County, AR",AR,-39.61507773
5093,"Mississippi County, AR",AR,45.94304498
5095,"Monroe County, AR",AR,-37.61142645
5097,"Montgomery County, AR",AR,-31.10447227
5099,"Nevada County, AR",AR,-17.09447172
5101,"Newton County, AR",AR,23.06106665
5103,"Ouachita County, AR",AR,29.54337691
5105,"Perry County, AR",AR,17.50301398
5107,"Phillips County, AR",AR,-12.51630211
5109,"Pike County, AR",AR,-8.720131507
5111,"Poinsett County, AR",AR,-18.8620752
5113,"Polk County, AR",AR,-17.69233626
5115,"Pope County, AR",AR,-10.66505801
5117,"Prairie County, AR",AR,31.83995495
5119,"Pulaski County, AR",AR,-16.4989371
5121,"Randolph County, AR",AR,-33.85035701
5125,"Saline County, AR",AR,-24.68061638
5127,"Scott County, AR",AR,19.86485691
5129,"Searcy County, AR",AR,17.13554496
5131,"Sebastian County, AR",AR,-47.34486964
5133,"Sevier County, AR",AR,-15.75234226
5135,"Sharp County, AR",AR,6.272702954
5123,"Saint Francis County, AR",AR,15.20723681
5137,"Stone County, AR",AR,-9.428411685
5139,"Union County, AR",AR,-38.51453721
5141,"Van Buren County, AR",AR,-37.26520182
5143,"Washington County, AR",AR,-6.738664101
5145,"White County, AR",AR,-31.55371587
5147,"Woodruff County, AR",AR,41.58139036
5149,"Yell County, AR",AR,40.82833521
60010,"Eastern District, AS",AS,38.63641986
60020,"Manu'a District, AS",AS,33.85390108
